"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"27.12.2021","5,6249","5,6701","5,7067","5,6236","57,67K","-0,88%"
"24.12.2021","5,6750","5,6753","5,6753","5,6753","0,00K","0,00%"
"23.12.2021","5,6749","5,6554","5,7193","5,6259","65,47K","0,37%"
"22.12.2021","5,6540","5,7425","5,7442","5,6470","58,08K","-1,59%"
"21.12.2021","5,7451","5,7417","5,7579","5,7112","59,06K","0,05%"
"20.12.2021","5,7420","5,7141","5,7467","5,6892","73,83K","0,81%"
"17.12.2021","5,6959","5,6887","5,7167","5,6610","70,97K","0,13%"
"16.12.2021","5,6884","5,6693","5,7256","5,6589","79,16K","0,14%"
"15.12.2021","5,6806","5,6873","5,7364","5,6574","87,11K","-0,02%"
"14.12.2021","5,6815","5,6681","5,6986","5,6179","68,43K","0,02%"
"13.12.2021","5,6804","5,6105","5,6813","5,6012","60,01K","1,21%"
"10.12.2021","5,6127","5,5599","5,6358","5,5580","67,76K","0,72%"
"09.12.2021","5,5727","5,5374","5,5999","5,5175","65,64K","0,72%"
"08.12.2021","5,5327","5,6027","5,6364","5,5256","73,52K","-1,43%"
"07.12.2021","5,6128","5,6890","5,6890","5,6085","73,12K","-1,34%"
"06.12.2021","5,6891","5,6532","5,7029","5,6350","74,38K","0,64%"
"03.12.2021","5,6532","5,6514","5,6864","5,6006","104,84K","0,12%"
"02.12.2021","5,6462","5,6632","5,6790","5,6139","98,57K","-0,87%"
"01.12.2021","5,6955","5,6243","5,6959","5,5770","83,43K","1,27%"
"30.11.2021","5,6239","5,6037","5,6704","5,5778","91,94K","0,40%"
"29.11.2021","5,6017","5,6085","5,6403","5,5794","63,30K","-0,14%"
"26.11.2021","5,6093","5,6561","5,6561","5,5719","86,29K","0,77%"
"25.11.2021","5,5664","5,5925","5,5991","5,5479","46,00K","-0,71%"
"24.11.2021","5,6061","5,5712","5,6235","5,5540","79,82K","0,63%"
"23.11.2021","5,5712","5,5854","5,6636","5,5672","81,61K","-0,27%"
"22.11.2021","5,5865","5,6013","5,6144","5,5620","65,81K","-0,48%"
"19.11.2021","5,6135","5,5782","5,6151","5,5208","71,11K","1,01%"
"18.11.2021","5,5576","5,5291","5,5775","5,5237","67,63K","0,51%"
"17.11.2021","5,5292","5,4986","5,5359","5,4655","86,98K","0,48%"
"16.11.2021","5,5028","5,4591","5,5093","5,4296","84,35K","0,83%"
"15.11.2021","5,4575","5,4570","5,4580","5,4570","0,01K","-0,02%"
"12.11.2021","5,4588","5,4044","5,4686","5,3927","66,90K","1,11%"
"11.11.2021","5,3989","5,4945","5,4945","5,3879","60,63K","-1,68%"
"10.11.2021","5,4910","5,5010","5,5103","5,4357","81,55K","0,19%"
"09.11.2021","5,4804","5,5477","5,5495","5,4559","79,60K","-1,15%"
"08.11.2021","5,5440","5,5667","5,5979","5,5328","57,87K","0,02%"
"05.11.2021","5,5428","5,5988","5,6075","5,5012","82,66K","-1,06%"
"04.11.2021","5,6020","5,5880","5,6281","5,5627","80,61K","0,89%"
"03.11.2021","5,5525","5,6807","5,7000","5,5447","117,85K","-2,24%"
"02.11.2021","5,6795","5,6849","5,6849","5,6800","","-0,04%"
"01.11.2021","5,6815","5,6221","5,6888","5,6206","76,19K","0,79%"
"29.10.2021","5,6372","5,6464","5,6636","5,5972","106,78K","-0,16%"
"28.10.2021","5,6464","5,5374","5,6636","5,5367","91,21K","1,96%"
"27.10.2021","5,5380","5,5668","5,5924","5,5367","92,77K","-0,51%"
"26.10.2021","5,5666","5,5557","5,6068","5,5466","94,28K","0,19%"
"25.10.2021","5,5563","5,6533","5,6587","5,5367","82,92K","-1,61%"
"22.10.2021","5,6474","5,6584","5,7547","5,6214","106,51K","-0,18%"
"21.10.2021","5,6577","5,5987","5,6907","5,5979","114,69K","1,08%"
"20.10.2021","5,5975","5,5851","5,6026","5,5198","116,34K","0,23%"
"19.10.2021","5,5844","5,5128","5,6125","5,5128","103,45K","1,32%"
"18.10.2021","5,5117","5,4576","5,5434","5,4576","78,21K","0,93%"
"15.10.2021","5,4611","5,5139","5,5139","5,4337","75,82K","-0,94%"
"14.10.2021","5,5132","5,5139","5,5308","5,4670","85,68K","0,00%"
"13.10.2021","5,5133","5,5368","5,5737","5,4988","103,23K","-0,35%"
"12.10.2021","5,5325","5,5370","5,5372","5,5328","0,01K","-0,08%"
"11.10.2021","5,5367","5,5073","5,5445","5,4946","80,33K","0,52%"
"08.10.2021","5,5082","5,5187","5,5324","5,4768","105,08K","-0,19%"
"07.10.2021","5,5188","5,4937","5,5295","5,4667","98,04K","0,50%"
"06.10.2021","5,4912","5,4770","5,5381","5,4755","124,78K","0,30%"
"05.10.2021","5,4748","5,4546","5,4879","5,4240","95,97K","0,39%"
"04.10.2021","5,4535","5,3614","5,4593","5,3614","103,70K","1,69%"
"01.10.2021","5,3628","5,4432","5,4432","5,3527","77,20K","-1,47%"
"30.09.2021","5,4428","5,4120","5,4767","5,3668","136,06K","0,51%"
"29.09.2021","5,4152","5,4292","5,4471","5,3913","110,85K","-0,26%"
"28.09.2021","5,4293","5,3920","5,4521","5,3863","107,57K","0,70%"
"27.09.2021","5,3914","5,3384","5,3945","5,3067","87,73K","1,07%"
"24.09.2021","5,3344","5,3039","5,3549","5,3023","72,83K","0,59%"
"23.09.2021","5,3030","5,2618","5,3124","5,2561","83,22K","0,27%"
"22.09.2021","5,2888","5,2706","5,3191","5,2495","110,07K","0,36%"
"21.09.2021","5,2699","5,3252","5,3374","5,2626","109,07K","-1,02%"
"20.09.2021","5,3240","5,2851","5,3779","5,2849","112,77K","0,68%"
"17.09.2021","5,2883","5,2568","5,3472","5,2509","84,53K","0,66%"
"16.09.2021","5,2535","5,2375","5,2801","5,2315","81,48K","0,61%"
"15.09.2021","5,2219","5,2408","5,2722","5,2148","76,31K","-0,34%"
"14.09.2021","5,2398","5,2393","5,2642","5,1980","101,04K","0,49%"
"13.09.2021","5,2144","5,2490","5,2659","5,2008","107,23K","-0,59%"
"10.09.2021","5,2454","5,1677","5,2712","5,1637","90,68K","0,92%"
"09.09.2021","5,1976","5,3252","5,3347","5,1930","125,46K","-2,33%"
"08.09.2021","5,3214","5,2016","5,3344","5,1955","79,55K","2,94%"
"07.09.2021","5,1692","5,1705","5,1708","5,1704","","0,00%"
"06.09.2021","5,1693","5,1920","5,2126","5,1547","46,65K","-0,41%"
"03.09.2021","5,1908","5,1830","5,2017","5,1310","89,28K","0,17%"
"02.09.2021","5,1819","5,1864","5,2013","5,1420","71,24K","-0,08%"
"01.09.2021","5,1858","5,1694","5,1984","5,1417","89,93K","0,71%"
"31.08.2021","5,1492","5,1845","5,1973","5,1154","78,31K","-0,67%"
"30.08.2021","5,1840","5,1999","5,2266","5,1817","78,41K","-0,30%"
"27.08.2021","5,1996","5,2577","5,2615","5,1869","86,03K","-1,00%"
